DATE SYM Y X1 X2 e1 e2
65 A 0.081394 -0.060793 1.4482 -3.888 9.1122
66 A -9.9523 0.41895 2.0575 -15.641 2.8243
67 A 2.4923 0.95075 -0.91064 14.481 -25.468
68 A 9.0247 0.39302 0.54088 10.249 6.0866
69 A -2.4621 -0.47179 1.1205 -3.0125 -1.3068
70 A 7.8746 1.0826 0.67216 7.4594 8.6161
71 A -2.2416 0.91819 0.12572 -4.0387 1.7583
72 A 20.633 0.73211 0.53317 32.268 -6.5518
73 A 2.1605 0.65901 -1.1608 4.8565 -4.0282
74 A 7.4659 -0.52544 0.34807 9.4574 2.9111
75 A 0.062671 0.99417 0.15496 0.63392 -1.4617
76 A 19.097 0.084374 -1.2489 30.247 -6.5642
77 A -9.9855 -0.063245 -1.0068 -15.685 3.4079
78 A -13.111 -0.82631 0.84876 -16.173 -6.0808
79 A -2.8303 -0.46346 -0.74061 -3.9475 -0.045887
80 A 6.9032 -0.60104 0.19243 8.4522 3.4149
81 A -11.655 -0.11727 0.77961 -18.393 3.8581
82 A -4.7827 -0.63691 -2.2113 -6.1797 -1.0872
83 A -2.497 -0.013388 0.82132 -5.8482 5.1666
84 A -1.4375 -0.44564 -0.54152 -3.3274 3.1252
85 A -4.5627 -0.94539 1.6918 -5.89 -1.6285
86 A -13.105 0.89892 -1.1123 -15.516 -7.5542
87 A 2.1181 -0.037737 -1.2701 0.3757 6.4199
88 A -2.4076 -0.6948 -0.86392 -3.4986 0.37852
89 A 11.737 0.17478 -1.1778 18.189 -3.0528
90 A 0.93134 -0.26406 -0.27775 -7.1754 19.945
91 A -4.5703 0.067951 0.18128 -5.7674 -1.8567
92 A 4.5743 -0.18107 -0.23211 2.5399 9.4286
93 A -1.6757 0.37352 0.62371 -1.8337 -1.4878
94 A 3.9176 -0.089554 0.56814 8.7068 -7.3044
95 A -0.61159 0.05248 0.74782 1.1111 -4.7701
96 A 1.2841 0.57032 -1.5361 -0.66776 6.0104
97 A -0.29839 -0.33245 0.44361 -1.9822 3.6095
98 A -0.83879 0.76305 0.30654 -9.3955 18.941
99 A 1.4956 0.42452 -0.033354 3.8975 -4.1617
100 A 10.293 -0.31927 0.66395 12.27 5.7097
101 A -1.4499 -0.72752 1.3005 0.652 -6.4622
102 A 3.3307 -1.1062 1.7373 2.075 6.183
103 A -10.698 0.78986 1.4816 -14.891 -1.386
104 A -0.61513 0.15825 -1.3606 -4.4569 8.5447
105 A 1.2703 1.4129 -0.76323 -1.6891 8.0777
106 A 0.010235 0.14326 1.4152 -10.102 23.344
107 A -11.721 0.99362 0.19582 -17.704 1.9421
108 A 2.0403 -0.44206 -0.38566 -0.14793 7.3015
109 A -2.8833 0.72787 0.48967 5.2338 -22.051
110 A -8.1468 -0.80707 -0.86079 -5.4111 -14.319
111 A 0.66719 0.40624 -2.8422 -0.86645 4.6583
112 A 26.538 1.4234 0.67645 32.523 12.445
113 A -4.2587 -0.43674 -1.0001 -6.22 0.52207
114 A 11.178 1.5993 0.10963 19.594 -8.6526
115 A -9.5666 1.2338 0.24935 -9.6623 -9.6713
116 A 7.5505 0.49979 -2.0189 10.864 0.13657
117 A 12.016 -0.072113 0.58334 12.481 10.944
118 A -6.1635 -0.83201 0.81974 -3.4207 -12.613
119 A 3.4508 0.1323 1.1501 2.5582 5.3481
120 A 3.0639 1.5698 0.78515 2.6638 3.6297
121 A 2.6866 -0.083027 0.74858 4.4912 -1.613
122 A -2.5478 -0.67226 -1.7429 0.70372 -9.7525
123 A -5.3468 0.70562 1.1113 -7.8772 0.20937
124 A -6.7618 0.18911 2.607 -6.5174 -7.856
125 A 3.0067 2.0069 0.55018 1.9667 5.0314
126 A -6.7802 -1.7807 -0.16035 -8.8735 -1.6285
127 A -37.843 0.98926 1.0016 -51.911 -5.6656
128 A 2.1144 0.52231 -0.095161 -1.4632 10.408
129 A 4.1232 -0.68043 -1.5938 5.7191 0.8138
130 A 3.3878 -0.37303 0.88975 5.1494 -0.78057
131 A 14.073 0.38039 -0.73045 8.8647 26.401
132 A -13.817 -0.31567 0.83158 -14.417 -12.618
133 A 1.3665 0.27298 0.64175 0.0028126 4.4071
134 A 1.5339 -0.37337 -0.87124 -8.1312 24.307
135 A 9.3809 -1.2654 -0.54171 15.461 -4.4246
136 A -0.52576 -2.3489 -1.6609 -6.4225 13.899
137 A 9.3054 -0.55771 1.6015 16.424 -7.4005
138 A 2.5736 -0.71614 -0.15997 4.2754 -1.2293
139 A -5.571 -1.4431 -1.9621 -4.9822 -6.4226
140 A -7.4164 -2.4573 0.063374 -12.211 4.1095
141 A 0.53912 0.52252 1.3984 -0.83551 3.4302
142 A 0.23324 -0.9043 1.0965 9.2805 -20.907
143 A 5.5927 0.28492 -0.67743 3.3292 10.987
144 A 7.1153 0.70876 1.4359 8.1456 4.4122
145 A -2.1287 0.26832 0.40652 -2.6905 -0.94854
146 A 0.16673 0.019516 2.5734 -3.5249 8.3486
147 A 1.5225 -0.4931 0.53541 -0.80832 6.9669
148 A 2.0405 -0.14979 1.0165 5.2364 -5.5442
149 A -3.5045 -0.3492 0.34173 -7.8448 6.5949
150 A 9.1519 -0.88459 0.95928 12.301 1.8676
151 A -4.543 -0.46684 0.4895 -2.571 -9.1862
152 A -4.2198 0.70228 0.39825 -7.9961 4.3726
153 A 0.24013 -0.89628 0.98583 -0.98765 3.092
154 A 7.175 0.19568 0.83061 5.1137 11.873
155 A -0.68474 -0.31937 0.33701 -1.6398 1.5349
156 A -13.321 -0.096982 -1.1439 -19.336 0.81024
157 A 13.184 1.4409 0.56062 16.401 5.4536
158 A 6.7651 -0.50527 -0.18853 9.8308 -0.21593
159 A -5.3463 0.89766 0.20237 -7.3007 -1.0145
160 A 0.087501 -1.6903 -1.1771 0.86097 -1.2374
161 A 7.038 0.19279 -0.39353 4.6471 12.709
162 A 3.078 -1.1127 0.53997 -3.0677 17.539
163 A -15.262 1.1751 1.8429 -3.2868 -43.835
164 A -3.1997 -0.85516 -1.0363 -3.1885 -2.9366
165 A -2.7626 -2.1803 -1.0559 -1.6576 -4.8231
166 A 2.3883 -0.072219 0.41547 2.5553 1.9612
167 A -9.5679 -0.23997 -1.6269 -18.538 11.594
168 A 12.913 0.74087 -0.47451 21.236 -6.4456
169 A 13.804 2.109 -0.6839 13.004 15.547
170 A 4.1497 0.050035 1.3839 -2.1284 18.594
171 A 1.1329 -0.28317 -0.21141 4.6174 -6.9055
172 A -5.7668 0.27948 1.4883 -5.0325 -7.8237
173 A 5.894 -0.29505 -0.38051 8.6647 -0.40882
174 A -6.4825 -1.9883 0.037121 -6.1778 -6.9217
175 A -5.4768 -0.4417 0.97513 -13.7 13.576
176 A -1.5898 -0.2247 0.18551 0.97747 -7.5867
177 A -6.5771 0.42986 0.54467 -13.443 9.2259
178 A 33.811 0.98375 -0.5112 49.928 -3.5919
179 A 9.8747 0.060162 -0.83131 11.873 5.4236
180 A 2.6251 0.49367 2.1565 5.5078 -4.5221
181 A 6.9187 0.59234 -0.88296 11.794 -4.3508
182 A 1.1673 0.11314 0.69576 10.299 -20.266
183 A 0.53704 -0.78916 -1.4187 0.86758 0.13916
184 A -1.1633 -1.7494 -0.096997 -0.74377 -1.8436
185 A 5.714 -0.70328 -0.61744 7.3385 2.1919
186 A 2.7657 -0.20441 0.89005 3.4554 1.0649
187 A -8.1057 -0.21841 -1.5392 -6.7258 -11.1
188 A 0.95462 0.73237 0.42646 5.4237 -9.6589
189 A 1.4795 1.3737 0.84037 -9.2575 26.175
190 A -10.433 0.8639 0.8717 -13.127 -4.5254
191 A -0.62914 0.48274 -0.92426 0.63685 -3.5146
192 A -3.2384 1.6213 -0.33016 -2.2292 -5.8359
193 A -6.6374 0.35161 -0.11185 -2.217 -17.047
194 A -7.6898 -0.88144 -0.91109 -11.904 2.3777
195 A 4.5831 -1.4045 0.19597 8.3315 -3.9231
196 A -2.3502 0.42915 -0.37306 5.3501 -20.347
197 A 5.2239 -0.59734 0.82365 -0.63653 18.904
198 A 4.5681 -0.018106 -0.83919 5.8897 1.6657
199 A -8.988 1.3592 1.0831 -14.067 2.3793
200 A 2.9829 0.056913 0.56192 -0.48098 10.987
201 A 16.198 0.55779 0.83913 19.189 9.122
202 A 9.8393 0.68169 -1.0605 18.237 -9.6099
203 A -13.878 -0.42559 1.2394 -19.532 -0.93779
204 A -1.1454 0.58858 0.10175 -4.6669 6.9466
205 A -2.8538 0.1612 0.64483 -7.4464 7.7038
206 A -2.1977 0.71996 1.7917 -4.4908 2.7147
207 A 12.246 -1.8078 1.0252 15.776 4.2439
208 A -1.4704 -0.51291 1.1844 1.091 -7.5715
209 A -21.931 1.1573 -1.2994 -29.245 -5.0245
210 A -6.0059 -0.002122 -0.24106 -4.357 -9.8631
211 A -4.6323 -0.41277 0.033665 -2.3211 -10
212 A 0.48707 -0.98517 -0.80987 0.58073 0.57252
213 A 6.5235 -1.6406 -2.4338 10.651 -2.3724
214 A 3.4271 0.87317 -1.7493 3.4349 3.5841
215 A 5.3265 -0.39578 -1.338 12.452 -10.966
216 A 1.5172 -0.4551 -1.5348 2.288 0.064016
217 A 2.775 1.9852 0.91136 2.1193 3.8444
218 A 6.5658 -0.32058 0.82927 7.0026 5.5167
219 A -3.4923 -1.2897 -1.1325 -13.194 19.52
220 A -3.059 -0.39204 0.49702 1.048 -12.685
221 A -10.276 0.89784 0.84714 -9.9009 -11.528
222 A 3.1731 0.19526 0.34106 -3.6008 18.916
223 A -0.86849 0.6383 -1.023 -3.2398 4.7216
224 A 1.9274 -0.79357 -0.2209 3.2592 -0.99436
225 A 5.6407 1.0075 0.25605 8.9087 -2.1487
226 A 2.1479 -1.2012 -0.79895 -0.4955 8.668
227 A -2.5423 0.1198 -0.14259 -1.9396 -3.9662
228 A 3.5026 -0.43224 -2.0853 4.9513 0.57241
229 A 0.21509 -0.27181 0.51516 3.018 -6.3639
230 A 12.212 -0.011072 -0.64411 17.951 -0.96692
231 A -4.6169 -1.1634 -0.37431 -7.1168 1.4347
232 A -7.0189 -0.35547 -0.41254 -3.3706 -15.462
233 A -4.9866 -0.75672 -3.2165 -6.9018 0.10446
234 A 7.9489 -0.2839 -0.86006 9.7043 4.1106
235 A 5.5213 -0.66357 0.40765 6.9788 2.2092
236 A -0.14178 1.2712 0.61151 -2.1327 4.1879
237 A 1.9952 0.10159 -1.0333 3.126 -0.47095
238 A 2.8293 1.4622 0.80897 4.5777 -1.6061
239 A -8.1119 0.79487 0.50258 -3.3085 -19.604
240 A -6.5696 0.46129 0.69403 -4.5529 -11.523
241 A 17.837 1.6403 1.4035 23.398 4.5017
242 A 4.9335 -0.0012142 0.30246 6.8295 0.50017
243 A 1.0708 -1.2767 -0.077238 3.6997 -4.828
244 A 4.734 0.13706 1.433 1.6455 11.718
245 A 3.6278 0.64086 -0.35101 -0.95326 14.299
246 A -10.887 1.0131 -0.76709 -11.557 -9.4557
247 A 23.962 -1.3333 0.22953 32.689 3.9847
248 A -1.2967 -0.94589 -1.6015 -4.0148 5.4604
249 A -6.9949 -0.67575 -1.7232 -3.2109 -15.482
250 A -2.0626 0.26677 0.53111 0.78622 -8.8606
251 A -17.663 0.89898 1.8724 -28.095 6.0677
252 A 2.4846 1.2115 -0.31238 1.2385 5.2627
253 A 7.0867 0.70526 2.1134 9.7752 0.40187
254 A -0.95809 -1.0506 -1.3088 -1.5983 0.92196
255 A 2.211 0.29473 1.9373 1.8302 2.7449
256 A -14.606 0.10555 -0.1199 -15.371 -12.94
257 A 11.885 0.8712 1.069 16.333 1.283
258 A 1.6616 2.6702 -0.86925 2.5482 -0.69418
259 A -3.2858 -1.239 -0.85856 4.6154 -21.399
260 A -2.2507 0.021086 1.3616 -5.1247 4.2054
261 A -10.829 -0.74809 1.0435 -17.188 3.8702
262 A 2.3846 -0.38905 0.48787 3.9622 -1.2929
263 A -6.0448 0.28707 1.1363 -11.504 6.4056
264 A 4.0175 -0.91334 -0.57438 5.6444 0.50368
265 A 4.9906 0.86743 -1.1153 3.911 7.593
266 A -3.4517 0.47534 0.68047 0.47153 -12.828
267 A 9.0979 2.0793 -1.0235 8.6326 10.083
268 A 11.502 0.8047 0.38922 19.617 -7.5346
269 A -4.6846 -1.6667 0.27213 -6.6086 -0.001533
270 A 0.77382 1.9483 0.56536 2.6546 -4.0282
271 A -10.619 0.3133 -1.5715 -9.2419 -13.71
272 A 16.89 0.72519 0.58467 2.0128 51.524
273 A 2.705 2.7503 1.23 19.164 -36.342
274 A -5.3351 -1.2269 0.7268 -5.4163 -5.1069
275 A 3.0603 0.93038 -0.54429 4.1236 0.54013
276 A 1.5295 0.74668 -1.3884 3.4883 -2.921
277 A 1.053 -0.54675 -1.536 -2.7471 10.277
278 A 3.2351 0.30447 0.8071 2.7374 4.2379
279 A -3.8729 -0.22653 -2.0172 -1.6166 -8.7949
280 A 2.5881 -0.3698 -0.24541 3.9064 -0.36369
281 A -19.708 -0.29838 0.34214 -22.549 -13.251
282 A -5.3544 0.4309 0.57243 -8.9489 2.8203
283 A 4.6253 -1.0548 0.7772 5.2245 3.3122
284 A 1.0572 -0.055681 -1.011 0.63464 2.2304
285 A 3.442 0.17479 -0.28549 6.2742 -3.1192
286 A -4.1643 1.9867 0.34175 -7.3031 2.7356
287 A -13.335 0.95037 -0.95001 -16.324 -6.4714
288 A -4.1075 0.34225 -0.10047 -6.5746 1.5741
289 A -6.4097 -0.31779 0.78615 5.9433 -35.365
290 A 1.287 -0.52111 -1.4963 11.039 -21.12
291 A -4.8856 -0.54038 -0.83378 -6.615 -0.66146
292 A 10.156 -0.36132 1.0137 3.8746 24.789
293 A 1.7834 0.22526 0.019673 3.102 -1.3196
294 A 5.4635 -0.23068 1.1589 6.5651 2.7837
295 A 3.8135 0.81018 -0.57673 4.6629 1.8244
296 A 2.2541 1.2341 0.023654 0.57488 5.9809
297 A -5.9017 0.64977 -0.78612 -8.3063 -0.31747
298 A -4.0877 -1.7553 -0.65535 -1.4755 -9.8142
299 A 2.0675 -0.47756 0.6026 3.7796 -1.9313
300 A 2.0257 0.7985 0.56212 2.4297 0.87269
301 A 5.8217 -1.2525 0.15303 6.9704 3.3737
302 A 3.1544 -0.69836 -1.1907 9.1207 -10.425
303 A 7.4316 -0.18847 0.33782 10.013 1.4451
304 A -2.2378 -0.53581 0.17689 -4.5969 3.308
305 A -2.4952 0.41362 -1.4993 1.1324 -10.799
306 A 6.9589 -0.81113 1.7009 10.353 -1.0508
307 A -1.8635 -0.05387 -0.41189 0.0069041 -6.1655
308 A 2.5413 -0.5367 -1.0955 3.2503 1.181
309 A 8.7092 -0.58547 0.60629 14.626 -5.0262
310 A -0.7955 -0.12445 -1.1887 0.19019 -2.8827
311 A -8.9844 1.5414 0.64393 -9.6993 -7.7564
312 A 1.8619 0.93016 0.74642 2.8928 -0.80807
313 A -10.312 0.11871 1.6095 -15.135 0.56657
314 A 5.8345 2.291 1.8786 6.2483 4.2211
315 A 9.6053 -0.71092 0.23879 15.003 -2.8292
316 A -2.7347 -0.49517 -1.5217 -1.1049 -6.2233
317 A 0.98217 1.0202 -1.1746 -1.209 6.1288
318 A 1.6499 -0.43797 1.658 1.283 2.316
319 A -2.1986 0.54244 0.76005 -1.7467 -3.4888
320 A -2.1254 -0.26436 1.1666 -2.7164 -0.91512
321 A -2.643 0.24708 0.98482 -2.9352 -2.1891
322 A -8.83 -0.55744 0.84543 -7.2461 -12.648
323 A -5.3342 2.6941 -2.5838 -4.8652 -6.4918
324 A -0.81281 -0.30144 0.23411 0.67235 -4.2737
325 A 0.26871 -1.5166 -0.010332 5.5227 -11.733
326 A -0.38519 0.15544 -2.6539 -0.73484 0.84487
327 A 29.624 0.084484 -1.0275 33.672 20.586
328 A 1.1812 0.40451 -0.31941 0.18087 3.511
329 A 4.8545 1.3073 -0.99061 5.5024 3.3304
330 A 1.0692 -0.052968 -2.0381 0.86997 1.8924
331 A -4.5313 -0.30016 0.28492 -3.6643 -6.5896
332 A -0.61753 0.27906 1.6764 -6.3149 12.345
333 A -2.828 -0.41365 0.94243 3.8888 -18.613
334 A 0.89264 -0.21935 -0.58116 -1.1814 5.8732
335 A -0.65017 0.020107 0.19568 0.55223 -3.4973
336 A 4.7975 1.4362 -0.29448 6.3496 1.0252
337 A 2.6694 0.3387 2.3465 1.3199 5.392
338 A 1.827 0.87223 1.792 2.7215 -0.68996
339 A -0.16567 0.59121 -2.1071 -3.1131 6.9637
340 A -2.0763 -2.0042 -1.5993 3.7943 -15.19
341 A 0.50602 0.95689 0.0018296 1.8553 -2.7984
342 A -1.6983 -0.54122 -0.59437 -3.1071 1.7644
343 A 3.3724 -0.85303 -0.40653 4.8231 0.22628
344 A -4.8009 0.34695 -0.0076077 -14.488 17.705
345 A -10.028 0.42261 -0.85121 -15.689 3.1684
346 A 4.4056 1.0318 0.059222 9.231 -6.999
347 A 2.2989 -2.1548 0.10265 2.6252 1.8994
348 A -9.2396 -0.84801 0.40871 -8.1406 -11.808
349 A 0.87716 -0.43584 0.90044 -6.2745 17.494
350 A 6.2408 1.1401 -0.20357 8.2962 1.3405
351 A 1.997 0.48976 2.8885 4.6568 -4.757
352 A 3.7469 1.5278 2.0737 5.3118 -0.47509
353 A -0.95727 -1.3892 0.31837 -5.8928 10.73
354 A 3.0438 -0.64481 0.075559 5.1011 -1.6359
355 A -9.5868 1.4493 0.78206 -6.7917 -16.562
356 A 11.347 2.3316 1.383 16.85 -2.0206
357 A 9.8039 -0.22541 1.0431 9.1307 11.32
358 A -7.8086 -0.19711 -0.71245 -9.2421 -4.3772
359 A 22.729 1.4657 -0.68973 28.177 10.077
360 A -4.0534 -0.0098754 1.4076 -0.853 -11.789
361 A 2.3242 -1.408 -1.8936 1.2426 5.419
362 A 6.0926 -1.6416 2.1459 -5.8995 34.041
363 A 7.6064 0.74527 -0.088383 7.3291 8.2074
364 A -5.1337 -0.74346 0.5815 0.20529 -17.607
365 A 8.1687 0.6577 1.7833 9.7508 4.1375
366 A 0.55283 0.59781 -0.76327 0.32598 1.1144
367 A -2.8976 0.0329 -0.045424 -4.0754 -0.17138
368 A 6.2268 0.70044 0.63328 7.0716 4.0849
369 A 3.5935 -0.28382 -0.18891 1.8997 7.6549
370 A -8.1187 0.87008 -0.61837 -7.4316 -9.8318
371 A -2.4198 -0.56156 0.9255 -1.0889 -5.6062
372 A -1.4495 -0.71754 0.30556 -1.9339 -0.26241
373 A -1.56 -0.88054 0.17 -1.7124 -1.0988
374 A 0.3569 0.38546 1.8138 3.155 -6.5365
375 A -10.043 1.084 1.591 -11 -8.3392
376 A -0.56295 -0.15244 -2.2431 0.66759 -3.0386
377 A -29.247 0.82797 0.21995 -40.257 -3.9778
378 A 4.7276 -1.102 -0.36813 2.53 10.14
379 A 0.76589 0.57986 -0.27291 -1.131 5.1472
380 A -2.8082 -0.71315 1.1134 -6.4499 5.5988
381 A -1.771 -0.45488 1.5114 -2.7589 0.34275
382 A 4.4378 -1.0287 0.88811 5.9171 1.0469
383 A 1.8777 0.65086 -0.23827 1.7411 2.143
384 A -4.584 -0.89176 -0.54991 -5.0447 -3.3065
385 A 9.6579 3.533 0.24922 11.28 5.3206
386 A -11.553 -0.45462 0.95985 -3.1367 -31.373
387 A -1.988 0.2123 0.091596 -6.6691 8.867
388 A 3.897 1.8375 0.098291 4.1052 3.1204
389 A -2.3432 0.1352 -2.464 -2.81 -0.88461
390 A 2.8935 0.64061 0.46456 0.9309 7.3125
391 A -0.77225 0.31641 0.93596 -3.5513 5.4966
392 A 7.1838 -0.41178 0.84208 11.922 -3.8835
393 A 11.857 1.1506 0.41799 15.442 3.3287
394 A 14.4 0.14038 -0.52697 2.5618 42.207
395 A -2.74 0.048657 -0.67315 -3.0338 -1.973
396 A 0.083322 -0.0040576 -0.5457 -1.259 3.3079
397 A -1.4675 -1.2066 2.1461 -6.0681 9.0982
398 A -8.9316 3.0669 1.123 -8.5634 -10.565
399 A 3.3215 -0.28737 -0.058973 1.2402 8.2635
400 A -3.3766 -1.2722 -0.549 -1.2708 -8.0141
401 A 5.5523 -0.63711 -1.0122 6.7998 2.9635
402 A 1.5582 0.84596 0.77909 2.1059 0.021713
403 A -2.6492 -0.10334 -0.51515 -4.9564 2.8156
404 A 3.5059 1.2608 1.2601 2.1797 6.2083
405 A 2.3765 -0.11668 1.4556 2.6102 1.6272
406 A -3.9865 -0.46211 -0.97313 -2.7848 -6.5839
407 A 2.3302 -0.048031 -1.5964 2.7323 1.6864
408 A 20.641 0.98685 0.89552 28.621 1.8812
409 A 2.0794 1.2132 -0.64043 6.4438 -8.1824
410 A -0.7689 -1.4344 -0.29667 -4.8682 9.0789
411 A 25.956 -1.0827 0.5261 37.275 -0.14762
412 A 8.9197 -0.40681 1.4243 7.4061 12.356
413 A -0.55888 1.0091 -1.3115 3.7239 -10.506
414 A 2.7857 0.92298 0.1022 6.122 -5.1469
415 A -2.3613 0.74932 1.8843 3.8884 -17.404
416 A -2.203 1.5208 -1.0834 -3.5593 0.87011
417 A 8.8248 -1.2098 -0.29023 9.7954 6.8844
418 A 1.2103 1.5501 -1.0678 6.5518 -11.324
419 A 9.5488 0.62365 0.14779 17.975 -10.161
420 A 4.4482 0.261 0.56064 5.1997 2.5946
421 A -7.967 -0.1883 -1.351 -10.088 -2.8266
422 A 1.5839 -0.86698 -0.53094 -2.71 11.85
423 A -2.0435 -0.58002 1.5935 -2.399 -1.4003
424 A 5.8026 -0.46244 0.87329 5.1506 7.3037
425 A -13.853 -0.26766 2.0784 -12.776 -16.783
426 A 8.6299 0.37068 -1.4374 13.827 -3.2461
427 A -4.408 -0.17383 -1.6312 0.6422 -15.927
428 A -1.3167 0.10529 0.18789 -0.75588 -2.6854
429 A -2.3702 -1.4484 0.74562 -3.9939 1.5159
430 A -4.871 0.75156 0.084014 -5.5703 -3.4197
431 A -13.739 -0.60119 -0.81054 -7.677 -27.764
432 A 6.7043 0.17593 -0.50156 8.3013 3.0882
433 A -2.1717 -0.98475 0.678 0.77895 -9.0236
434 A 5.7582 -0.44897 0.086805 3.3073 11.586
435 A 2.0393 0.81244 0.68374 4.8798 -4.8213
436 A 4.4566 -0.33259 0.47236 2.455 9.1408
437 A 12.446 0.90041 -0.60696 20.074 -5.2975
438 A -9.0969 0.82324 0.80043 -7.7696 -12.541
439 A -3.656 0.71393 0.89646 -0.021983 -12.435
440 A 0.40302 -1.3675 -1.4553 3.2329 -5.725
441 A -10.779 -1.9003 -0.18678 -14.157 -2.6382
442 A -2.6917 0.36707 0.32923 7.3696 -26.307
443 A -6.0509 0.66843 -0.13844 -4.6755 -9.3991
444 A 3.3524 -1.9996 -1.9109 1.9601 7.2826
445 A 3.4364 -0.76446 -0.47591 7.4631 -5.7231
446 A 2.4767 -0.53957 -0.78609 -0.43303 9.5083
447 A -1.8935 -1.09 1.7785 -1.6937 -2.4908
448 A 2.0155 -2.1706 0.88513 2.8475 0.3059
449 A -2.8431 0.37099 1.578 -2.8947 -3.0721
450 A 2.0558 0.2813 0.18482 8.1071 -12.125
451 A 8.3527 1.7681 -0.89111 9.3056 6.0528
452 A -19.935 -0.083783 0.23629 -27.105 -3.3969
453 A -24.258 -0.14906 -1.0168 -33.53 -2.6314
454 A 1.6609 2.2245 0.82615 -1.3801 8.2609
455 A -5.4594 -1.6722 -0.73326 -12.144 10.494
456 A -6.9299 0.55746 -0.90909 -1.2203 -20.251
457 A 1.4626 0.53719 0.49543 3.2797 -2.9377
458 A -0.49867 -0.69867 0.95614 0.17674 -2.1218
459 A -4.3273 -2.2026 -1.0856 -2.2437 -8.6759
460 A -3.889 0.70799 0.058971 -5.9867 0.84502
461 A -3.0808 0.07874 1.7148 -1.8913 -6.1818
462 A 0.081676 1.1645 0.27971 -6.8438 16
463 A -7.0829 -0.26455 0.4602 -5.9711 -9.769
464 A 10.592 -0.89167 2.3244 5.9866 21.187
465 A -7.3049 0.0077128 -0.75086 -11.305 2.0924
